
Quadro extraído em 21 de Julho de 2019 (13:31:02)
http://www.ine.pt



Localização geográfica (NUTS - 2013) (1) ;Crimes registados (N.º) pelas autoridades policiais por Localização geográfica (NUTS - 2013) e Categoria de crime -  Anual (3) ;;;;;;;;;
;Período de referência dos dados (2) ;;;;;;;;;
;2018;;;;;;;;;
;Categoria de crime;;;;;;;;;
;Total;Crimes contra as pessoas;Crimes de homicídio voluntário consumado;Crimes contra o património;Crimes contra a identidade cultural e integridade pessoal;Crimes contra a vida em sociedade;Crimes contra o Estado;Crimes contra animais de companhia;Crimes previstos em legislação avulsa;
;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
PT: Portugal;333223;81278;110;170383;70;44207;5497;1977;29811;
1: Continente;314312;75207;97;162407;70;41685;5107;1858;27978;
11: Norte;101006;26540;20;52089;13;13914;1330;423;6697;
111: Alto Minho;6612;1870;x x;2842;? ?;1287;96;? ?;488;
1111601: Arcos de Valdevez;477;157;x x;184;0;99;? ?;? ?;31;
1111602: Caminha;531;161;x x;224;? ?;98;8;? ?;35;
1111603: Melgaço;192;43;x x;88;0;44;? ?;? ?;13;
1111604: Monção;416;102;x x;149;0;123;9;0;33;
1111605: Paredes de Coura;194;50;x x;72;0;48;3;? ?;? ?;
1111606: Ponte da Barca;339;123;x x;124;0;76;? ?;? ?;? ?;
1111607: Ponte de Lima;933;271;x x;373;? ?;214;? ?;? ?;56;
1111608: Valença;644;141;x x;291;0;143;11;3;55;
1111609: Viana do Castelo;2574;757;x x;1189;0;378;36;8;206;
1111610: Vila Nova de Cerveira;312;65;x x;148;0;64;5;4;26;
112: Cávado;9605;2713;x x;4659;? ?;1523;149;? ?;516;
1120301: Amares;474;141;x x;189;0;93;9;10;32;
1120302: Barcelos;1952;649;x x;837;0;297;28;9;132;
1120303: Braga;4772;1267;x x;2609;? ?;604;72;? ?;203;
1120306: Esposende;1001;188;x x;491;0;208;26;3;85;
1120310: Terras de Bouro;167;50;x x;67;0;44;3;0;3;
1120313: Vila Verde;1239;418;x x;466;0;277;11;6;61;
119: Ave;8807;2487;x x;3963;0;1616;137;44;560;
1190304: Cabeceiras de Basto;371;120;x x;116;0;115;? ?;12;? ?;
1190307: Fafe;1165;386;x x;480;0;182;19;4;94;
1190308: Guimarães;3187;850;x x;1529;0;541;37;15;215;
1191705: Mondim de Basto;138;40;x x;64;0;26;? ?;? ?;4;
1190309: Póvoa de Lanhoso;580;152;x x;237;0;136;12;4;39;
1190311: Vieira do Minho;277;83;x x;120;0;63;3;? ?;? ?;
1190312: Vila Nova de Famalicão;2644;739;x x;1239;0;469;51;4;142;
1190314: Vizela;445;117;x x;178;0;84;? ?;? ?;54;
11A: Área Metropolitana do Porto;57000;13749;x x;32594;10;5753;708;220;3966;
11A0104: Arouca;404;127;x x;127;? ?;117;? ?;? ?;23;
11A0107: Espinho;992;345;x x;459;0;103;22;4;59;
11A1304: Gondomar;3849;1236;x x;2015;0;327;39;9;223;
11A1306: Maia;4130;834;x x;2839;? ?;268;20;? ?;156;
11A1308: Matosinhos;5966;1451;x x;3471;? ?;532;49;? ?;422;
11A0113: Oliveira de Azeméis;1274;409;x x;500;0;257;20;6;82;
11A1310: Paredes;1854;513;x x;1054;0;174;13;5;95;
11A1312: Porto;15948;2615;x x;9944;6;1521;219;40;1603;
11A1313: Póvoa de Varzim;1711;498;x x;1065;0;114;12;4;18;
