
Quadro extraído em 21 de Julho de 2019 (13:29:54)
http://www.ine.pt



Localização geográfica (NUTS - 2013) (1) ;Crimes registados (N.º) pelas autoridades policiais por Localização geográfica (NUTS - 2013) e Categoria de crime -  Anual (3) ;;;;;;;;;
;Período de referência dos dados (2) ;;;;;;;;;
;2015;;;;;;;;;
;Categoria de crime;;;;;;;;;
;Total;Crimes contra as pessoas;Crimes de homicídio voluntário consumado;Crimes contra o património;Crimes contra a identidade cultural e integridade pessoal;Crimes contra a vida em sociedade;Crimes contra o Estado;Crimes contra animais de companhia;Crimes previstos em legislação avulsa;
;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
PT: Portugal;356032;81394;102;186102;22;49591;6275;1330;31318;
1: Continente;337749;75295;93;178974;x x;46962;5814;1224;29458;
11: Norte;109281;27223;21;56803;x x;15954;1568;336;7389;
111: Alto Minho;7580;2029;x x;3599;x x;1388;89;22;452;
1111601: Arcos de Valdevez;702;189;x x;252;x x;192;? ?;? ?;59;
1111602: Caminha;577;148;x x;328;x x;51;? ?;? ?;39;
1111603: Melgaço;252;56;x x;100;x x;70;3;- -;23;
1111604: Monção;582;133;x x;268;x x;130;? ?;? ?;47;
1111605: Paredes de Coura;304;85;x x;109;x x;72;? ?;3;? ?;
1111606: Ponte da Barca;329;80;x x;117;x x;113;? ?;- -;? ?;
1111607: Ponte de Lima;1015;289;x x;438;x x;210;? ?;? ?;55;
1111608: Valença;798;155;x x;423;x x;163;? ?;? ?;50;
1111609: Viana do Castelo;2629;809;x x;1354;x x;316;26;11;112;
1111610: Vila Nova de Cerveira;392;85;x x;210;x x;71;4;- -;22;
112: Cávado;10444;2552;x x;5932;x x;1346;125;36;453;
1120301: Amares;450;143;x x;180;x x;94;? ?;? ?;28;
1120302: Barcelos;2065;628;x x;1017;x x;267;22;8;123;
1120303: Braga;5406;1155;x x;3477;x x;529;55;10;180;
1120306: Esposende;1082;235;x x;634;x x;138;16;8;51;
1120310: Terras de Bouro;242;39;x x;88;x x;85;? ?;? ?;20;
1120313: Vila Verde;1199;352;x x;536;x x;233;22;5;51;
119: Ave;9679;2487;x x;4327;x x;1908;230;30;696;
1190304: Cabeceiras de Basto;403;105;x x;135;x x;123;? ?;? ?;28;
1190307: Fafe;1162;296;x x;456;x x;267;27;3;113;
1190308: Guimarães;3461;871;x x;1725;x x;582;56;9;218;
1191705: Mondim de Basto;200;47;x x;98;x x;46;? ?;? ?;5;
1190309: Póvoa de Lanhoso;581;121;x x;187;x x;207;? ?;? ?;47;
1190311: Vieira do Minho;345;91;x x;157;x x;78;4;- -;15;
1190312: Vila Nova de Famalicão;2897;843;x x;1388;x x;397;75;11;182;
1190314: Vizela;630;113;x x;181;x x;208;? ?;? ?;88;
11A: Área Metropolitana do Porto;59185;13867;x x;33655;x x;6341;825;182;4309;
11A0104: Arouca;377;111;x x;124;x x;114;? ?;? ?;17;
11A0107: Espinho;1022;295;x x;529;x x;93;22;9;74;
