
Quadro extraído em 21 de Julho de 2019 (13:30:39)
http://www.ine.pt



Localização geográfica (NUTS - 2013) (1) ;Crimes registados (N.º) pelas autoridades policiais por Localização geográfica (NUTS - 2013) e Categoria de crime -  Anual (3) ;;;;;;;;;
;Período de referência dos dados (2) ;;;;;;;;;
;2017;;;;;;;;;
;Categoria de crime;;;;;;;;;
;Total;Crimes contra as pessoas;Crimes de homicídio voluntário consumado;Crimes contra o património;Crimes contra a identidade cultural e integridade pessoal;Crimes contra a vida em sociedade;Crimes contra o Estado;Crimes contra animais de companhia;Crimes previstos em legislação avulsa;
;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
PT: Portugal;341950;81901;82;170832;51;52735;5682;1950;28799;
1: Continente;323111;75460;68;163330;51;50181;5296;1831;26962;
11: Norte;102813;26989;18;50946;8;16464;1363;469;6574;
111: Alto Minho;7071;1976;x x;3010;x x;1440;73;26;545;
1111601: Arcos de Valdevez;678;204;x x;221;x x;195;9;5;44;
1111602: Caminha;568;171;x x;251;x x;89;8;3;46;
1111603: Melgaço;176;51;x x;58;x x;53;? ?;? ?;? ?;
1111604: Monção;445;114;x x;149;x x;135;? ?;? ?;43;
1111605: Paredes de Coura;220;52;x x;81;x x;67;- -;- -;20;
1111606: Ponte da Barca;394;121;x x;125;x x;136;? ?;? ?;8;
1111607: Ponte de Lima;963;251;x x;449;x x;184;? ?;? ?;66;
1111608: Valença;782;166;x x;371;x x;139;? ?;? ?;99;
1111609: Viana do Castelo;2550;778;x x;1166;x x;376;31;12;186;
1111610: Vila Nova de Cerveira;295;68;x x;139;x x;66;? ?;- -;? ?;
112: Cávado;10152;2816;x x;4823;x x;1655;192;38;627;
1120301: Amares;489;160;x x;150;x x;128;? ?;? ?;31;
1120302: Barcelos;2193;689;x x;995;x x;316;36;12;145;
1120303: Braga;4857;1285;x x;2637;x x;564;88;16;266;
1120306: Esposende;1105;238;x x;458;x x;246;26;3;134;
1120310: Terras de Bouro;216;64;x x;68;x x;74;? ?;? ?;5;
1120313: Vila Verde;1292;380;x x;515;x x;327;20;4;46;
119: Ave;9172;2532;x x;3769;x x;2202;147;37;485;
1190304: Cabeceiras de Basto;409;124;x x;108;x x;159;? ?;? ?;9;
1190307: Fafe;1250;336;x x;503;x x;309;22;3;77;
1190308: Guimarães;3097;884;x x;1328;x x;652;39;6;188;
1191705: Mondim de Basto;210;48;x x;65;x x;88;- -;3;6;
1190309: Póvoa de Lanhoso;652;146;x x;218;x x;231;17;8;32;
1190311: Vieira do Minho;363;96;x x;132;x x;123;6;- -;6;
1190312: Vila Nova de Famalicão;2726;779;x x;1238;x x;511;47;14;137;
1190314: Vizela;465;119;x x;177;x x;129;? ?;? ?;30;
11A: Área Metropolitana do Porto;55925;13720;x x;31277;x x;6111;700;272;3840;
11A0104: Arouca;367;126;x x;127;x x;95;? ?;- -;? ?;
11A0107: Espinho;1074;325;x x;524;x x;121;21;9;74;
11A1304: Gondomar;4043;1232;x x;2101;x x;393;37;15;265;
11A1306: Maia;4033;900;x x;2558;x x;371;23;4;176;
11A1308: Matosinhos;5873;1346;x x;3469;x x;559;57;46;396;
11A0113: Oliveira de Azeméis;1387;380;x x;604;x x;277;22;12;92;
11A1310: Paredes;1744;611;x x;847;x x;197;18;5;66;
11A1312: Porto;15406;2896;x x;9290;x x;1519;231;44;1423;
11A1313: Póvoa de Varzim;1690;464;x x;1049;x x;138;? ?;? ?;? ?;
11A0109: Santa Maria da Feira;3584;916;x x;1660;x x;672;57;21;258;
