Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,Total,Crimes contra as pessoas,Crimes de homicídio voluntário consumado,Crimes contra o património,Crimes contra a identidade cultural e integridade pessoal,Crimes contra a vida em sociedade,Crimes contra o Estado,Crimes contra animais de companhia,Crimes previstos em legislação avulsa
16B: Oeste,13557.00,2617.00,x x,8431.00,x x,1259.00,131.00,- -,1119.00
16B1001: Alcobaça,2081.00,436.00,x x,1145.00,x x,319.00,28.00,- -,153.00
16B1101: Alenquer,1490.00,271.00,x x,857.00,x x,127.00,12.00,- -,223.00
16B1102: Arruda dos Vinhos,364.00,78.00,x x,207.00,x x,35.00,6.00,- -,38.00
16B1005: Bombarral,569.00,91.00,x x,312.00,x x,75.00,18.00,- -,73.00
16B1104: Cadaval,503.00,126.00,x x,301.00,x x,34.00,4.00,- -,38.00
16B1006: Caldas da Rainha,2289.00,364.00,x x,1609.00,x x,182.00,15.00,- -,119.00
16B1108: Lourinhã,858.00,182.00,x x,568.00,x x,60.00,4.00,- -,44.00
16B1011: Nazaré,678.00,156.00,x x,361.00,x x,85.00,13.00,- -,63.00
16B1012: Óbidos,503.00,54.00,x x,367.00,x x,55.00,3.00,- -,24.00
16B1014: Peniche,1172.00,216.00,x x,824.00,x x,59.00,8.00,- -,65.00
16B1112: Sobral de Monte Agra�o,439.00,73.00,x x,220.00,x x,42.00,4.00,- -,100.00
16B1113: Torres Vedras,2611.00,570.00,x x,1660.00,x x,186.00,16.00,- -,179.00
16D: Região de Aveiro,13928.00,3187.00,x x,7603.00,x x,1783.00,326.00,- -,1029.00
16D0101: Águeda,1535.00,365.00,x x,813.00,x x,242.00,21.00,- -,94.00
16D0102: Albergaria-a-Velha,859.00,202.00,x x,533.00,x x,75.00,9.00,- -,40.00
16D0103: Anadia,886.00,241.00,x x,397.00,x x,165.00,19.00,- -,64.00
16D0105: Aveiro,3466.00,715.00,x x,1986.00,x x,363.00,107.00,- -,295.00
16D0108: Estarreja,1086.00,272.00,x x,524.00,x x,135.00,33.00,- -,122.00
16D0110: �lhavo,1576.00,278.00,x x,874.00,x x,241.00,56.00,- -,127.00
16D0112: Murtosa,434.00,140.00,x x,214.00,x x,48.00,8.00,- -,24.00
16D0114: Oliveira do Bairro,895.00,148.00,x x,488.00,x x,160.00,22.00,- -,77.00
16D0115: Ovar,2057.00,576.00,x x,1182.00,x x,162.00,29.00,- -,108.00
16D0117: Sever do Vouga,372.00,77.00,x x,150.00,x x,98.00,15.00,- -,32.00
16D0118: Vagos,762.00,173.00,x x,442.00,x x,94.00,7.00,- -,46.00
16E: Região de Coimbra,15330.00,3688.00,x x,9077.00,x x,1558.00,170.00,- -,836.00
16E0601: Arganil,279.00,89.00,x x,144.00,x x,31.00,? ?,- -,? ?
16E0602: Cantanhede,1354.00,324.00,x x,797.00,x x,150.00,12.00,- -,71.00
16E0603: Coimbra,5473.00,1282.00,x x,3526.00,x x,345.00,48.00,- -,271.00
16E0604: Condeixa-a-Nova,455.00,125.00,x x,265.00,x x,40.00,6.00,- -,19.00
16E0605: Figueira da Foz,2540.00,569.00,x x,1664.00,x x,162.00,20.00,- -,125.00
16E0606: Góis,166.00,33.00,x x,65.00,x x,47.00,6.00,- -,15.00
16E0607: Lousã,696.00,217.00,x x,351.00,x x,62.00,8.00,- -,58.00
16E0111: Mealhada,635.00,134.00,x x,298.00,x x,135.00,20.00,- -,48.00
16E0608: Mira,437.00,70.00,x x,269.00,x x,60.00,12.00,- -,26.00
16E0609: Miranda do Corvo,265.00,83.00,x x,132.00,x x,43.00,? ?,- -,? ?
16E0610: Montemor-o-Velho,865.00,186.00,x x,483.00,x x,109.00,8.00,- -,79.00
16E1808: Mortágua,204.00,39.00,x x,93.00,x x,55.00,3.00,- -,14.00
16E0611: Oliveira do Hospital,449.00,144.00,x x,232.00,x x,54.00,3.00,- -,16.00
16E0612: Pampilhosa da Serra,95.00,20.00,x x,61.00,x x,11.00,- -,- -,3.00
16E0613: Penacova,347.00,81.00,x x,163.00,x x,86.00,3.00,- -,14.00
16E0614: Penela,195.00,40.00,x x,115.00,x x,27.00,? ?,- -,? ?
16E0615: Soure,343.00,91.00,x x,187.00,x x,43.00,3.00,- -,19.00
16E0616: Tábua,359.00,110.00,x x,165.00,x x,59.00,5.00,- -,20.00
16E0617: Vila Nova de Poiares,173.00,51.00,x x,67.00,x x,39.00,6.00,- -,10.00
16F: Região de Leiria,9986.00,2054.00,x x,5680.00,x x,1173.00,155.00,- -,924.00
16F1002: Alvai�zere,236.00,50.00,x x,128.00,x x,34.00,3.00,- -,21.00
16F1003: Ansi�o,274.00,59.00,x x,141.00,x x,59.00,? ?,- -,? ?
16F1004: Batalha,623.00,127.00,x x,364.00,x x,66.00,5.00,- -,61.00
16F1007: Castanheira de P�ra,101.00,32.00,x x,45.00,x x,20.00,? ?,- -,? ?
16F1008: Figueir� dos Vinhos,199.00,37.00,x x,78.00,x x,61.00,4.00,- -,19.00
16F1009: Leiria,4327.00,834.00,x x,2621.00,x x,381.00,72.00,- -,419.00
16F1010: Marinha Grande,1673.00,377.00,x x,926.00,x x,160.00,27.00,- -,183.00
16F1013: Pedrógão Grande,172.00,30.00,x x,52.00,x x,69.00,4.00,- -,17.00
16F1015: Pombal,1575.00,318.00,x x,920.00,x x,215.00,23.00,- -,99.00
16F1016: Porto de M�s,806.00,190.00,x x,405.00,x x,108.00,14.00,- -,89.00
16G: Viseu D�o Laf�es,7240.00,1885.00,x x,4127.00,x x,782.00,90.00,- -,356.00
16G0901: Aguiar da Beira,127.00,16.00,x x,73.00,x x,22.00,6.00,- -,10.00
16G1802: Carregal do Sal,307.00,60.00,x x,181.00,x x,33.00,11.00,- -,22.00
16G1803: Castro Daire,209.00,38.00,x x,104.00,x x,45.00,? ?,- -,? ?
16G1806: Mangualde,484.00,124.00,x x,290.00,x x,45.00,6.00,- -,19.00
16G1809: Nelas,392.00,71.00,x x,272.00,x x,20.00,? ?,- -,? ?
16G1810: Oliveira de Frades,191.00,40.00,x x,104.00,x x,38.00,? ?,- -,? ?
16G1811: Penalva do Castelo,141.00,41.00,x x,72.00,x x,20.00,? ?,- -,? ?
16G1814: Santa Comba D�o,311.00,78.00,x x,192.00,x x,21.00,? ?,- -,? ?
16G1816: São Pedro do Sul,359.00,84.00,x x,198.00,x x,45.00,6.00,- -,26.00
16G1817: S�t�o,278.00,68.00,x x,128.00,x x,42.00,13.00,- -,27.00
16G1821: Tondela,725.00,192.00,x x,386.00,x x,101.00,8.00,- -,38.00
16G1822: Vila Nova de Paiva,190.00,38.00,x x,67.00,x x,69.00,8.00,- -,8.00
16G1823: Viseu,3233.00,961.00,x x,1883.00,x x,251.00,25.00,- -,113.00
16G1824: Vouzela,293.00,74.00,x x,177.00,x x,30.00,- -,- -,12.00
16H: Beira Baixa,2662.00,715.00,x x,1325.00,x x,444.00,24.00,- -,154.00
