Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,Total,Crimes contra as pessoas,Crimes de homicídio voluntário consumado,Crimes contra o património,Crimes contra a identidade cultural e integridade pessoal,Crimes contra a vida em sociedade,Crimes contra o Estado,Crimes contra animais de companhia,Crimes previstos em legislação avulsa
1840206: Castro Verde,132.00,43.00,x x,57.00,x x,20.00,3.00,- -,9.00
1840207: Cuba,134.00,34.00,x x,78.00,x x,8.00,5.00,- -,9.00
1840208: Ferreira do Alentejo,283.00,59.00,x x,165.00,x x,33.00,8.00,- -,18.00
1840209: Mértola,159.00,43.00,x x,76.00,x x,25.00,7.00,- -,8.00
1840210: Moura,323.00,113.00,x x,150.00,x x,32.00,8.00,- -,20.00
1840212: Ourique,174.00,15.00,x x,86.00,x x,43.00,4.00,- -,26.00
1840213: Serpa,331.00,96.00,x x,178.00,x x,35.00,6.00,- -,16.00
1840214: Vidigueira,250.00,62.00,x x,125.00,x x,42.00,? ?,- -,? ?
185: Lez�ria do Tejo,10193.00,2163.00,x x,6074.00,x x,942.00,129.00,- -,885.00
1851403: Almeirim,947.00,213.00,x x,566.00,x x,68.00,9.00,- -,91.00
1851404: Alpiar�a,320.00,59.00,x x,205.00,x x,20.00,? ?,- -,? ?
1851103: Azambuja,834.00,189.00,x x,515.00,x x,33.00,9.00,- -,88.00
1851405: Benavente,1384.00,335.00,x x,810.00,x x,118.00,15.00,- -,106.00
1851406: Cartaxo,933.00,220.00,x x,499.00,x x,138.00,? ?,- -,? ?
1851407: Chamusca,432.00,89.00,x x,222.00,x x,70.00,? ?,- -,? ?
1851409: Coruche,835.00,189.00,x x,413.00,x x,131.00,27.00,- -,75.00
1851412: Goleg�,230.00,39.00,x x,152.00,x x,13.00,- -,- -,26.00
1851414: Rio Maior,941.00,167.00,x x,602.00,x x,89.00,16.00,- -,67.00
1851415: Salvaterra de Magos,821.00,166.00,x x,473.00,x x,75.00,14.00,- -,93.00
1851416: Santarém,2516.00,497.00,x x,1617.00,x x,187.00,22.00,- -,193.00
186: Alto Alentejo,3399.00,934.00,x x,1599.00,x x,471.00,77.00,- -,318.00
1861201: Alter do Chão,96.00,40.00,x x,41.00,x x,8.00,4.00,- -,3.00
1861202: Arronches,34.00,13.00,x x,13.00,x x,? ?,? ?,- -,4.00
1861203: Avis,128.00,42.00,x x,62.00,x x,17.00,? ?,- -,? ?
1861204: Campo Maior,252.00,73.00,x x,96.00,x x,58.00,8.00,- -,17.00
1861205: Castelo de Vide,46.00,17.00,x x,20.00,x x,5.00,? ?,- -,? ?
1861206: Crato,111.00,36.00,x x,48.00,x x,19.00,? ?,- -,? ?
1861207: Elvas,995.00,263.00,x x,447.00,x x,97.00,20.00,- -,168.00
1861208: Fronteira,43.00,8.00,x x,29.00,x x,? ?,- -,- -,? ?
1861209: Gavião,141.00,19.00,x x,83.00,x x,28.00,4.00,- -,7.00
1861210: Marvão,51.00,19.00,x x,23.00,x x,? ?,- -,- -,? ?
1861211: Monforte,66.00,15.00,x x,45.00,x x,3.00,? ?,- -,? ?
1861212: Nisa,144.00,29.00,x x,87.00,x x,19.00,? ?,- -,? ?
1861213: Ponte de Sor,595.00,152.00,x x,264.00,x x,115.00,19.00,- -,45.00
1861214: Portalegre,638.00,187.00,x x,311.00,x x,81.00,12.00,- -,47.00
1861215: Sousel,59.00,21.00,x x,30.00,x x,? ?,? ?,- -,? ?
187: Alentejo Central,4507.00,1377.00,x x,2268.00,x x,456.00,99.00,- -,307.00
1870701: Alandroal,99.00,39.00,x x,35.00,x x,16.00,? ?,- -,? ?
1870702: Arraiolos,148.00,48.00,x x,67.00,x x,18.00,? ?,- -,? ?
1870703: Borba,111.00,43.00,x x,57.00,x x,? ?,? ?,- -,- -
1870704: Estremoz,351.00,101.00,x x,204.00,x x,21.00,5.00,- -,20.00
1870705: Évora,1889.00,619.00,x x,1027.00,x x,129.00,31.00,- -,83.00
1870706: Montemor-o-Novo,493.00,93.00,x x,273.00,x x,60.00,24.00,- -,43.00
1870707: Mora,160.00,51.00,x x,79.00,x x,13.00,- -,- -,17.00
1870708: Mourão,57.00,19.00,x x,29.00,x x,? ?,3.00,- -,? ?
1870709: Portel,83.00,18.00,x x,44.00,x x,12.00,? ?,- -,? ?
1870710: Redondo,189.00,67.00,x x,58.00,x x,32.00,9.00,- -,23.00
1870711: Reguengos de Monsaraz,215.00,66.00,x x,100.00,x x,29.00,? ?,- -,? ?
1870712: Vendas Novas,460.00,129.00,x x,183.00,x x,75.00,18.00,- -,55.00
1870713: Viana do Alentejo,145.00,60.00,x x,52.00,x x,21.00,? ?,- -,? ?
1870714: Vila Viçosa,107.00,24.00,x x,60.00,x x,16.00,? ?,- -,? ?
15: Algarve,25846.00,4660.00,7.00,16809.00,x x,2403.00,416.00,- -,1558.00
150: Algarve,25846.00,4660.00,7.00,16809.00,x x,2403.00,416.00,- -,1558.00
1500801: Albufeira,4231.00,530.00,x x,3067.00,x x,351.00,73.00,- -,210.00
1500802: Alcoutim,47.00,12.00,x x,22.00,x x,6.00,? ?,- -,? ?
1500803: Aljezur,338.00,37.00,x x,194.00,x x,72.00,13.00,- -,22.00
1500804: Castro Marim,358.00,69.00,x x,249.00,x x,18.00,5.00,- -,17.00
1500805: Faro,3479.00,688.00,x x,2092.00,x x,365.00,63.00,- -,271.00
1500806: Lagoa,1454.00,211.00,x x,1068.00,x x,102.00,17.00,- -,56.00
1500807: Lagos,1733.00,377.00,x x,1148.00,x x,125.00,17.00,- -,66.00
