
Quadro extraído em 21 de Julho de 2019 (13:27:41)
http://www.ine.pt



Localização geográfica (NUTS - 2013) (1) ;Crimes registados (N.º) pelas autoridades policiais por Localização geográfica (NUTS - 2013) e Categoria de crime -  Anual (3) ;;;;;;;;;
;Período de referência dos dados (2) ;;;;;;;;;
;2012;;;;;;;;;
;Categoria de crime;;;;;;;;;
;Total;Crimes contra as pessoas;Crimes de homicídio voluntário consumado;Crimes contra o património;Crimes contra a identidade cultural e integridade pessoal;Crimes contra a vida em sociedade;Crimes contra o Estado;Crimes contra animais de companhia;Crimes previstos em legislação avulsa;
;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
PT: Portugal;404917;86847;149;219078;7;53228;6822;- -;38935;
1: Continente;384176;80281;143;210770;x x;50021;6305;- -;36792;
11: Norte;118692;29463;34;62348;x x;16335;1615;- -;8928;
111: Alto Minho;7881;2057;x x;3750;x x;1400;130;- -;544;
1111601: Arcos de Valdevez;722;229;x x;272;x x;162;21;- -;38;
1111602: Caminha;767;195;x x;415;x x;109;5;- -;43;
1111603: Melgaço;242;42;x x;91;x x;66;11;- -;32;
1111604: Monção;589;145;x x;277;x x;133;3;- -;31;
1111605: Paredes de Coura;289;61;x x;121;x x;79;9;- -;19;
1111606: Ponte da Barca;416;103;x x;172;x x;114;? ?;- -;? ?;
1111607: Ponte de Lima;1174;279;x x;498;x x;251;27;- -;119;
1111608: Valença;916;216;x x;506;x x;112;12;- -;70;
1111609: Viana do Castelo;2425;713;x x;1185;x x;334;40;- -;153;
1111610: Vila Nova de Cerveira;341;74;x x;213;x x;40;? ?;- -;? ?;
112: Cávado;12809;3036;x x;7333;x x;1436;161;- -;843;
1120301: Amares;765;204;x x;353;x x;144;11;- -;53;
1120302: Barcelos;2477;724;x x;1156;x x;301;37;- -;259;
1120303: Braga;6177;1332;x x;4049;x x;494;62;- -;240;
1120306: Esposende;1469;282;x x;806;x x;185;18;- -;178;
1120310: Terras de Bouro;267;65;x x;100;x x;75;10;- -;17;
1120313: Vila Verde;1654;429;x x;869;x x;237;23;- -;96;
119: Ave;10844;2714;x x;5434;x x;1679;172;- -;845;
1190304: Cabeceiras de Basto;447;88;x x;168;x x;144;17;- -;30;
1190307: Fafe;1402;321;x x;748;x x;191;40;- -;102;
1190308: Guimarães;3467;902;x x;1944;x x;354;26;- -;241;
1191705: Mondim de Basto;219;71;x x;95;x x;39;8;- -;6;
1190309: Póvoa de Lanhoso;750;143;x x;314;x x;232;14;- -;47;
1190311: Vieira do Minho;553;130;x x;221;x x;176;7;- -;19;
1190312: Vila Nova de Famalicão;3327;904;x x;1669;x x;401;44;- -;309;
1190314: Vizela;679;155;x x;275;x x;142;16;- -;91;
11A: Área Metropolitana do Porto;61750;14798;x x;34184;x x;6898;810;- -;5057;
11A0104: Arouca;403;110;x x;171;x x;88;10;- -;24;
11A0107: Espinho;903;293;x x;428;x x;85;19;- -;78;
11A1304: Gondomar;4492;1266;x x;2554;x x;323;38;- -;311;
11A1306: Maia;4610;989;x x;2815;x x;372;34;- -;400;
11A1308: Matosinhos;6026;1419;x x;3618;x x;497;65;- -;427;
11A0113: Oliveira de Azeméis;1609;483;x x;784;x x;202;29;- -;111;
11A1310: Paredes;2420;577;x x;1383;x x;252;33;- -;175;
11A1312: Porto;15970;2958;x x;8543;x x;2528;317;- -;1622;
11A1313: Póvoa de Varzim;1785;503;x x;1029;x x;164;14;- -;75;
11A0109: Santa Maria da Feira;4380;1313;x x;2452;x x;408;38;- -;169;
11A1314: Santo Tirso;1612;488;x x;734;x x;258;14;- -;118;
11A0116: São João da Madeira;976;263;x x;385;x x;220;21;- -;87;
11A1318: Trofa;1013;238;x x;544;x x;109;12;- -;110;
11A0119: Vale de Cambra;447;155;x x;231;x x;43;6;- -;12;
11A1315: Valongo;2450;727;x x;1424;x x;157;14;- -;128;
11A1316: Vila do Conde;2612;554;x x;1389;x x;310;38;- -;321;
11A1317: Vila Nova de Gaia;10042;2462;x x;5700;x x;882;108;- -;889;
11B: Alto Tâmega;3742;909;x x;1509;x x;1170;34;- -;120;
11B1702: Boticas;266;52;x x;64;x x;141;? ?;- -;? ?;
11B1703: Chaves;1449;403;x x;682;x x;294;12;- -;58;
11B1706: Montalegre;529;132;x x;142;x x;231;7;- -;17;
11B1709: Ribeira de Pena;272;62;x x;92;x x;113;? ?;- -;? ?;
11B1712: Valpaços;710;164;x x;303;x x;213;10;- -;20;
11B1713: Vila Pouca de Aguiar;516;96;x x;226;x x;178;? ?;- -;? ?;
11C: Tâmega e Sousa;11709;3078;x x;5810;x x;1706;166;- -;949;
11C1301: Amarante;1645;462;x x;821;x x;216;22;- -;124;
11C1302: Baião;665;209;x x;302;x x;116;4;- -;34;
11C0106: Castelo de Paiva;502;146;x x;193;x x;117;9;- -;37;
11C0305: Celorico de Basto;372;53;x x;152;x x;114;10;- -;43;
