
Quadro extraído em 21 de Julho de 2019 (13:28:27)
http://www.ine.pt



Localização geográfica (NUTS - 2013) (1) ;Crimes registados (N.º) pelas autoridades policiais por Localização geográfica (NUTS - 2013) e Categoria de crime -  Anual (3) ;;;;;;;;;
;Período de referência dos dados (2) ;;;;;;;;;
;2013;;;;;;;;;
;Categoria de crime;;;;;;;;;
;Total;Crimes contra as pessoas;Crimes de homicídio voluntário consumado;Crimes contra o património;Crimes contra a identidade cultural e integridade pessoal;Crimes contra a vida em sociedade;Crimes contra o Estado;Crimes contra animais de companhia;Crimes previstos em legislação avulsa;
;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
PT: Portugal;376403;84252;121;202015;13;50402;6799;- -;32922;
1: Continente;356856;77956;111;193946;x x;47581;6237;- -;31125;
11: Norte;115039;28936;24;60550;x x;16222;1574;- -;7753;
111: Alto Minho;8263;2058;x x;3672;x x;1917;120;- -;496;
1111601: Arcos de Valdevez;711;201;x x;259;x x;180;19;- -;52;
1111602: Caminha;727;163;x x;371;x x;158;4;- -;31;
1111603: Melgaço;258;52;x x;92;x x;80;? ?;- -;? ?;
1111604: Monção;670;155;x x;282;x x;186;5;- -;42;
1111605: Paredes de Coura;290;62;x x;98;x x;94;10;- -;26;
1111606: Ponte da Barca;481;113;x x;186;x x;161;10;- -;11;
1111607: Ponte de Lima;1281;355;x x;499;x x;302;27;- -;98;
1111608: Valença;888;157;x x;449;x x;232;13;- -;37;
1111609: Viana do Castelo;2555;723;x x;1237;x x;417;27;- -;151;
1111610: Vila Nova de Cerveira;402;77;x x;199;x x;107;? ?;- -;? ?;
112: Cávado;12390;2968;x x;7144;x x;1472;143;- -;663;
1120301: Amares;484;152;x x;234;x x;59;8;- -;31;
1120302: Barcelos;2492;688;x x;1253;x x;306;37;- -;208;
1120303: Braga;6040;1314;x x;3929;x x;542;57;- -;198;
1120306: Esposende;1361;236;x x;825;x x;167;19;- -;114;
1120310: Terras de Bouro;269;69;x x;113;x x;61;8;- -;18;
1120313: Vila Verde;1744;509;x x;790;x x;337;14;- -;94;
119: Ave;10907;2899;x x;4996;x x;1865;228;- -;919;
1190304: Cabeceiras de Basto;361;79;x x;127;x x;118;11;- -;26;
1190307: Fafe;1312;365;x x;573;x x;235;26;- -;113;
1190308: Guimarães;3493;933;x x;1792;x x;492;51;- -;225;
1191705: Mondim de Basto;221;61;x x;89;x x;47;6;- -;18;
1190309: Póvoa de Lanhoso;715;121;x x;318;x x;202;9;- -;65;
1190311: Vieira do Minho;533;130;x x;268;x x;101;13;- -;21;
1190312: Vila Nova de Famalicão;3391;1031;x x;1571;x x;426;54;- -;309;
1190314: Vizela;881;179;x x;258;x x;244;58;- -;142;
11A: Área Metropolitana do Porto;60015;14270;x x;34264;x x;6671;751;- -;4056;
11A0104: Arouca;470;117;x x;192;x x;128;15;- -;18;
11A0107: Espinho;946;289;x x;493;x x;89;17;- -;58;
11A1304: Gondomar;4100;1150;x x;2356;x x;338;21;- -;235;
11A1306: Maia;4384;884;x x;2771;x x;396;34;- -;299;
11A1308: Matosinhos;6083;1396;x x;3584;x x;619;70;- -;413;
11A0113: Oliveira de Azeméis;1419;435;x x;660;x x;198;22;- -;104;
11A1310: Paredes;2620;627;x x;1359;x x;368;38;- -;228;
11A1312: Porto;15638;2895;x x;9048;x x;2176;272;- -;1246;
11A1313: Póvoa de Varzim;1573;497;x x;828;x x;161;18;- -;69;
11A0109: Santa Maria da Feira;4341;1157;x x;2487;x x;471;32;- -;194;
11A1314: Santo Tirso;1376;396;x x;631;x x;248;16;- -;84;
11A0116: São João da Madeira;758;215;x x;316;x x;155;9;- -;63;
11A1318: Trofa;1041;238;x x;573;x x;111;20;- -;99;
11A0119: Vale de Cambra;497;155;x x;246;x x;62;7;- -;27;
11A1315: Valongo;2421;705;x x;1445;x x;161;25;- -;85;
11A1316: Vila do Conde;2460;514;x x;1376;x x;287;35;- -;248;
11A1317: Vila Nova de Gaia;9888;2600;x x;5899;x x;703;100;- -;586;
11B: Alto Tâmega;3428;895;x x;1395;x x;921;38;- -;179;
11B1702: Boticas;204;33;x x;62;x x;95;- -;- -;14;
11B1703: Chaves;1383;419;x x;628;x x;250;18;- -;68;
11B1706: Montalegre;485;112;x x;131;x x;214;? ?;- -;? ?;
11B1709: Ribeira de Pena;204;50;x x;61;x x;78;? ?;- -;? ?;
11B1712: Valpaços;642;157;x x;294;x x;145;10;- -;36;
11B1713: Vila Pouca de Aguiar;510;124;x x;219;x x;139;5;- -;23;
11C: Tâmega e Sousa;10783;3074;x x;4943;x x;1772;149;- -;845;
11C1301: Amarante;1432;405;x x;655;x x;254;19;- -;99;
11C1302: Baião;518;206;x x;204;x x;96;? ?;- -;? ?;
11C0106: Castelo de Paiva;409;118;x x;147;x x;106;10;- -;28;
11C0305: Celorico de Basto;395;94;x x;106;x x;159;5;- -;31;
11C1804: Cinfães;414;148;x x;177;x x;66;4;- -;19;
11C1303: Felgueiras;1875;453;x x;875;x x;306;28;- -;213;
11C1305: Lousada;985;283;x x;554;x x;71;13;- -;64;
11C1307: Marco de Canaveses;1140;313;x x;587;x x;169;10;- -;61;
11C1309: Paços de Ferreira;1603;409;x x;781;x x;227;35;- -;151;
11C1311: Penafiel;1760;542;x x;780;x x;257;20;- -;161;
11C1813: Resende;252;103;x x;77;x x;61;? ?;- -;? ?;
11D: Douro;5445;1644;x x;2328;x x;1010;92;- -;371;
11D1701: Alijó;417;134;x x;156;x x;108;4;- -;15;
11D1801: Armamar;102;31;x x;42;x x;19;? ?;- -;? ?;
11D0403: Carrazeda de Ansiães;182;45;x x;89;x x;31;- -;- -;17;
11D0404: Freixo de Espada à Cinta;128;40;x x;50;x x;31;? ?;- -;? ?;
11D1805: Lamego;618;198;x x;300;x x;72;12;- -;36;
11D1704: Mesão Frio;215;85;x x;88;x x;28;3;- -;11;
11D1807: Moimenta da Beira;216;57;x x;106;x x;40;3;- -;10;
11D1707: Murça;208;47;x x;81;x x;52;3;- -;25;
11D1812: Penedono;66;20;x x;29;x x;13;? ?;- -;? ?;
11D1708: Peso da Régua;521;163;x x;262;x x;67;8;- -;21;
11D1710: Sabrosa;168;58;x x;65;x x;25;3;- -;17;
11D1711: Santa Marta de Penaguião;159;50;x x;60;x x;31;5;- -;13;
11D1815: São João da Pesqueira;141;52;x x;56;x x;14;? ?;- -;? ?;
11D1818: Sernancelhe;93;32;x x;37;x x;16;4;- -;4;
11D1819: Tabuaço;100;31;x x;42;x x;22;- -;- -;5;
11D1820: Tarouca;172;62;x x;74;x x;21;4;- -;11;
11D0409: Torre de Moncorvo;344;99;x x;142;x x;61;7;- -;35;
11D0914: Vila Nova de Foz Côa;288;64;x x;104;x x;91;10;- -;19;
11D1714: Vila Real;1307;376;x x;545;x x;268;20;- -;98;
11E: Terras de Trás-os-Montes;3808;1128;x x;1808;x x;594;53;- -;224;
11E0401: Alfândega da Fé;172;63;x x;69;x x;26;? ?;- -;? ?;
11E0402: Bragança;1222;330;x x;605;x x;204;15;- -;67;
11E0405: Macedo de Cavaleiros;518;182;x x;230;x x;64;6;- -;36;
11E0406: Miranda do Douro;230;75;x x;106;x x;38;3;- -;8;
11E0407: Mirandela;753;234;x x;356;x x;105;7;- -;51;
11E0408: Mogadouro;222;63;x x;95;x x;49;7;- -;8;
11E0410: Vila Flor;217;56;x x;115;x x;25;9;- -;12;
11E0411: Vimioso;252;55;x x;141;x x;43;3;- -;10;
11E0412: Vinhais;222;70;x x;91;x x;40;? ?;- -;? ?;
16: Centro;68354;16522;30;37057;x x;9344;1097;- -;4333;
16B: Oeste;11384;2345;x x;6630;x x;1319;142;- -;948;
16B1001: Alcobaça;1821;356;x x;1110;x x;227;19;- -;109;
16B1101: Alenquer;1139;215;x x;609;x x;157;17;- -;141;
16B1102: Arruda dos Vinhos;351;62;x x;147;x x;94;6;- -;42;
16B1005: Bombarral;387;121;x x;171;x x;45;7;- -;43;
16B1104: Cadaval;479;84;x x;285;x x;56;6;- -;48;
16B1006: Caldas da Rainha;1929;410;x x;1110;x x;188;26;- -;195;
16B1108: Lourinhã;702;164;x x;418;x x;67;3;- -;50;
16B1011: Nazaré;649;137;x x;394;x x;65;13;- -;40;
16B1012: Óbidos;412;42;x x;321;x x;33;? ?;- -;? ?;
16B1014: Peniche;1122;199;x x;736;x x;133;6;- -;48;
